candidate_id,family,source,final_fidelity,max_fidelity,gain_vs_acqc,gain_vs_no_y,gain_vs_prior_refined,elapsed_s
beta_early_s0p15,smooth_beta_global_y,single_focused,0.9275426864624023,0.92864990234375,0.06314245765591653,0.02305814599447098,0.012069324114467594,50.28206992149353
beta_early_s0p14,smooth_beta_global_y,single_focused,0.9271259307861328,0.9279091358184814,0.06266477543128368,0.022598474115516298,0.011614589640508655,56.09082889556885
beta_early_s0p13,smooth_beta_global_y,single_focused,0.9261091947555542,0.9266529083251953,0.06149940023280176,0.021477037772379637,0.010505198814308558,50.195058822631836
beta_early_s0p17,smooth_beta_global_y,single_focused,0.9258657693862915,0.9280200004577637,0.06122038790365414,0.02120854521607929,0.010239590177058888,52.1416802406311
beta_early_s0p19,smooth_beta_global_y,single_focused,0.9195244312286377,0.9234668612480164,0.053951993756245153,0.014214195787875195,0.003320368111198624,55.24954390525818
beta_center_s0p16,smooth_beta_global_y,single_focused,0.9190160036087036,0.9201506972312927,0.05336923783860814,0.013653411873761234,0.0027656076617035286,57.301259994506836
smooth7_m0p16,symmetric_7knot_global_y,single_focused,0.9186235666275024,0.9186497926712036,0.05291942951953166,0.013220562953418113,0.0023374080369116257,63.51065993309021
early5_m0p16,biased_5knot_global_y,single_focused,0.9180579781532288,0.9184019565582275,0.0522711562601581,0.012596731938057326,0.0017202776845950396,56.721548080444336
sym_pwY_m0p16,symmetric_piecewise_global_y,expanded_partial,0.9175100922584534,0.9175100922584534,0.05164317356438808,0.011992426458744987,0.0011224631415986952,52.558940172195435
sym5_m0p15,symmetric_5knot_global_y,single_focused,0.9173989295959473,0.9173989295959473,0.05151575975590106,0.011869816611169037,0.001001170264891993,56.5978319644928
sym5_m0p17,symmetric_5knot_global_y,single_focused,0.9173086881637573,0.9173086881637573,0.05141232570440013,0.011770282397104648,0.0009027051628360816,56.21139669418335
sym5_m0p18,symmetric_5knot_global_y,single_focused,0.9167361259460449,0.9167361259460449,0.05075605919269788,0.011138759503906748,0.0002779655523026392,59.93976712226868
sym_pwY_m0p13,symmetric_piecewise_global_y,expanded_partial,0.9164813756942749,0.9164813756942749,0.050464066368315574,0.010857775863939212,0.0,52.39655303955078
beta_center_s0p18,smooth_beta_global_y,single_focused,0.914931058883667,0.9169776439666748,0.048687104889096666,0.009147812252438214,-0.001691596634392556,51.26827430725098
sym_pwY_m0p2,symmetric_piecewise_global_y,expanded_partial,0.9141604900360107,0.9143141508102417,0.04780388466597696,0.008297892622700198,-0.002532387149172588,60.867445945739746
late5_m0p16,biased_5knot_global_y,single_focused,0.9118728637695312,0.9118728637695312,0.04518182462859044,0.005774693721915636,-0.005028483989925614,56.54578900337219
early_pwY_m0p18,biased_piecewise_global_y,expanded_partial,0.9116097688674927,0.9128627777099609,0.04488026722877225,0.005484506125561728,-0.0053155546375307505,49.64886498451233
sym_pwY_mm0p16,symmetric_piecewise_global_y,expanded_partial,0.9098060131072998,0.9112867116928101,0.0428128159298824,0.0034950052100968243,-0.007283686023535685,49.00323796272278
sym_pwY_mm0p08,symmetric_piecewise_global_y,expanded_partial,0.9077685475349426,0.908057451248169,0.04047748820038821,0.0012477277732672043,-0.009506825114402262,49.04773211479187
beta_late_s0p17,smooth_beta_global_y,single_focused,0.9071955680847168,0.9074498414993286,0.03982074345991404,0.0006157446822498969,-0.010132019979700813,50.09071612358093
beta_early_s0p21,smooth_beta_global_y,single_focused,0.9069517850875854,0.9135199785232544,0.03954132122039056,0.0003468576706757709,-0.010398018835320433,52.678595781326294
anchor_smooth_no_y,anchor,expanded_partial,0.9066373109817505,0.906659722328186,0.03918087336324505,0.0,-0.01074115085543026,57.802468061447144
sym_pwY_m0p24,symmetric_piecewise_global_y,expanded_partial,0.9009628891944885,0.9027931094169617,0.032676893748361246,-0.006258756085294359,-0.016932680697445135,61.0553081035614
sym_pwY_m0p28,symmetric_piecewise_global_y,expanded_partial,0.8725456595420837,0.8785096406936646,0.00010527864819209753,-0.03760230361879846,-0.04793956245854747,63.081449031829834
anchor_smooth_acqc_alpha1,anchor,expanded_partial,0.8724538087844849,0.8751554489135742,0.0,-0.037703612881594406,-0.048039783543268655,55.895617961883545
sym_pwY_m0p3,symmetric_piecewise_global_y,expanded_partial,0.851630687713623,0.8604583144187927,-0.0238673049062309,-0.06067103416311381,-0.07076050828804303,2210.0351600646973
