T,candidate_id,final_fidelity,error,elapsed_s
8.0,alpha_0.45_T8p0,0.44123294949531555,,1.3283469676971436
8.0,alpha_0.52_T8p0,0.4813539385795593,,0.8928263187408447
8.0,alpha_0.6_T8p0,0.5279958248138428,,0.8294389247894287
8.0,alpha_0.7_T8p0,0.5869836807250977,,0.8704319000244141
8.0,alpha_0.85_T8p0,0.6756689548492432,,0.824005126953125
8.0,alpha_1.0_T8p0,0.7624613046646118,,0.862464189529419
8.0,alpha_1.04_T8p0,0.7848197221755981,,0.8416080474853516
8.0,smooth_varY_-0.12_T8p0,0.16360723972320557,,0.839339017868042
8.0,smooth_varY_-0.08_T8p0,0.1826823353767395,,0.7904467582702637
8.0,smooth_varY_-0.04_T8p0,0.20008723437786102,,0.7258391380310059
8.0,smooth_varY_0.04_T8p0,0.22754156589508057,,0.7857768535614014
8.0,smooth_varY_0.08_T8p0,0.2365126609802246,,0.8536927700042725
8.0,smooth_varY_0.12_T8p0,0.2418137490749359,,0.7757189273834229
8.0,smooth_varY_0.16_T8p0,0.2434123307466507,,0.801872968673706
8.0,pw_rand_0_T8p0,0.4879918396472931,,0.7626128196716309
8.0,pw_rand_1_T8p0,0.48515236377716064,,0.9143240451812744
8.0,pw_rand_2_T8p0,0.7156727313995361,,0.7788960933685303
8.0,pw_rand_3_T8p0,0.40565377473831177,,0.7784609794616699
8.0,pw_rand_4_T8p0,0.3329777717590332,,0.7107608318328857
8.0,pw_rand_5_T8p0,0.5940333604812622,,0.925767183303833
8.0,pw_rand_6_T8p0,0.3398902118206024,,0.9209771156311035
8.0,pw_rand_7_T8p0,0.1491079032421112,,0.881378173828125
8.0,pw_rand_8_T8p0,0.2971450686454773,,0.8766369819641113
8.0,pw_rand_9_T8p0,0.7193475961685181,,0.8495008945465088
8.0,pw_rand_10_T8p0,0.4605868458747864,,0.7865762710571289
8.0,pw_rand_11_T8p0,0.2957931458950043,,0.9600110054016113
8.0,pw_rand_12_T8p0,0.11504559218883514,,0.8184168338775635
8.0,pw_rand_13_T8p0,0.3756284713745117,,0.811007022857666
8.0,pw_rand_14_T8p0,0.36309683322906494,,0.8113038539886475
8.0,pw_rand_15_T8p0,0.3396523594856262,,0.7759361267089844
8.0,pw_rand_16_T8p0,0.6015543937683105,,0.8953220844268799
8.0,pw_rand_17_T8p0,0.08031883835792542,,0.9671769142150879
8.0,pw_rand_18_T8p0,0.3200682997703552,,0.8226771354675293
8.0,pw_rand_19_T8p0,0.6038706302642822,,0.7543768882751465
8.0,pw_rand_20_T8p0,0.09678046405315399,,0.7908642292022705
8.0,pw_rand_21_T8p0,0.33226507902145386,,0.8186278343200684
8.0,pw_rand_22_T8p0,0.31481093168258667,,0.7306299209594727
8.0,pw_rand_23_T8p0,0.38697654008865356,,0.7241122722625732
8.0,pw_rand_24_T8p0,0.3869938254356384,,1.0815839767456055
8.0,pw_rand_25_T8p0,0.6303704977035522,,0.7215690612792969
8.0,pw_rand_26_T8p0,0.36416804790496826,,0.8408091068267822
8.0,pw_rand_27_T8p0,0.5005149245262146,,0.8508591651916504
8.0,pw_rand_28_T8p0,0.6710772514343262,,0.7658040523529053
8.0,pw_rand_29_T8p0,0.17342998087406158,,0.8176860809326172
8.0,pw_rand_30_T8p0,0.12835410237312317,,0.901972770690918
8.0,pw_rand_31_T8p0,0.31263667345046997,,0.7717487812042236
8.0,pw_rand_32_T8p0,0.3026520609855652,,1.1029081344604492
8.0,pw_rand_33_T8p0,0.40314996242523193,,0.8200068473815918
8.0,pw_rand_34_T8p0,0.5189231634140015,,0.888153076171875
8.0,pw_rand_35_T8p0,0.4111945629119873,,0.7459149360656738
8.0,pw_rand_36_T8p0,0.35199928283691406,,0.8503971099853516
8.0,pw_rand_37_T8p0,0.4926597476005554,,0.7879610061645508
8.0,pw_rand_38_T8p0,0.5030028223991394,,0.7242708206176758
8.0,pw_rand_39_T8p0,0.4641037881374359,,0.7635746002197266
