T,candidate_id,final_fidelity,error
8.0,alpha_1.04_T8p0,0.7848197221755981,
10.0,alpha_1.04_T10p0,0.915160059928894,
12.0,alpha_0.6_T12p0,0.9149326086044312,
14.0,pw_rand_45_T14p0,0.9789564609527588,
16.0,pw_rand_10_T16p0,0.9536306858062744,
18.0,pw_rand_38_T18p0,0.9852371215820312,
20.0,alpha_0.52_T20p0,0.9818295240402222,
