protocol,kind,params_json,eta,alpha,cd_window,N,F_ad,F_gs,final_energy
baseline_OI+AH+CD,smooth,[],0.0,-0.045093150475837604,none,0.9469002644304123,0.9704383814377625,0.8400799595567865,-14.253683142015918
target_catalyst_smooth_cd,smooth,[],3.0,-0.07,none,0.9778768093236827,0.9789394106658733,0.9687359052792697,-14.45826381847751
mixed_p0.7_q0.5_windowed_cd,mixed_power,"[0.7, 0.5]",3.0,-0.07,sin2_pi_s,0.9081084836045925,0.9552667405074585,0.802892542538922,-13.997487727393672
power_p1.2_cd,power,[1.2],3.0,-0.07,none,0.9897002180424318,0.9822805357784161,0.9793858213563452,-14.536350027320287
sine_a0.04_windowed_cd,sine,"[0.04, 0.0, 0.0]",3.0,-0.07,sin2_pi_s,0.9408130575048979,0.9597075391860885,0.8781343588882315,-14.213480953073471
mixed_p0.7_q0.5_unwindowed_cd_original,mixed_power,"[0.7, 0.5]",3.0,-0.07,none,0.9862825143955216,0.9764609553906833,0.9827719090788094,-14.51377823545521
sine_a0.04_unwindowed_cd_original,sine,"[0.04, 0.0, 0.0]",3.0,-0.07,none,0.9821090019435964,0.9818434487296743,0.9570157323121004,-14.486214799843601
