protocol,family,kind,params_json,eta,alpha,N,F_ad,F_gs,final_energy
target_eta2_alpha0.06,target+CD,smooth,{},2.0,0.06,0.843946213046525,nan,0.6830053203107931,-11.045243932740853
target_eta-0.5_alpha0.03,target+CD,smooth,{},-0.5,0.03,0.8756026440654769,nan,0.6790332356919853,-11.309511103682288
power_p0.55_eta1.5,power,power,"{""p"": 0.55}",1.5,0.0,0.8387657403277063,nan,0.6777280051057701,-11.001997463525107
power_p0.7_eta1.5,power,power,"{""p"": 0.7}",1.5,0.0,0.8517727256013466,nan,0.6652869201734019,-11.110579482726324
mixed_p0.55_q0.75_eta1,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.75}",1.0,0.0,0.8475468605645438,nan,0.6629092155595054,-11.075302056872864
target_eta2.5_alpha0.06,target+CD,smooth,{},2.5,0.06,0.8144797997792744,nan,0.6388681173285299,-10.799258980512171
power_p0.7_eta1,power,power,"{""p"": 0.7}",1.0,0.0,0.8385988184490027,nan,0.6360402657217087,-11.000604003452908
target_eta3_alpha0.06,target+CD,smooth,{},3.0,0.06,0.7955054191906267,nan,0.6202393846283253,-10.640861280040944
target_eta-0.5_alpha0.06,target+CD,smooth,{},-0.5,0.06,0.8488390528685001,nan,0.6031068684277253,-11.086089249032158
target_eta-1_alpha0,target+CD,smooth,{},-1.0,0.0,0.7943891908303979,nan,0.5997761645322707,-10.631543030908386
power_p0.55_eta1,power,power,"{""p"": 0.55}",1.0,0.0,0.8007225728577176,nan,0.5866131108245219,-10.684413960984145
power_p0.55_eta0.5,power,power,"{""p"": 0.55}",0.5,0.0,0.8018254414319586,nan,0.5348830557290298,-10.693620682925111
target_eta-1_alpha0.03,target+CD,smooth,{},-1.0,0.03,0.7006389383811188,nan,0.4642929449067043,-9.848918041534693
target_eta-1_alpha0.06,target+CD,smooth,{},-1.0,0.06,0.6405661064797479,nan,0.36662814785105774,-9.347431398030519
