protocol,N,F_ad,final_ground_fidelity,final_energy,kind,params,eta,alpha
target+mixed_power_p0.7_m0.5,0.9870255892732491,0.9887184498221312,0.9837219656455911,-14.518685779588065,mixed_power,"[0.7, 0.5]",3.0,-0.07
target+mixed_power_p1.4_m0.5,0.97904064297551,0.9865795652351087,0.9397339538994411,-14.465950210765609,mixed_power,"[1.4, 0.5]",3.0,-0.07
target+power_p1.2,0.9897511009309501,0.9853184258133272,0.9795664567535307,-14.536686076927797,power,[1.2],3.0,-0.07
target+sine_pos,0.9818383932954992,0.9808159926504633,0.956351855279005,-14.484427599222137,sine,"[0.04, 0.0, 0.0]",3.0,-0.07
OI+AH+TargetCatalyst+commutator-CD,0.9779033789346122,0.9791175740976055,0.9687450554508392,-14.45843929411548,smooth,[],3.0,-0.07
Recorded baseline OI+AH+CD,0.9469139068541426,0.9777312893165675,0.840113079475467,-14.253773241679548,smooth,[],0.0,-0.045093150475837604
target+sine_neg,0.9673332801070819,0.97316801487028,0.972047706505147,-14.388630412077386,sine,"[-0.04, 0.0, 0.0]",3.0,-0.07
target+power_p0.8,0.9289973899908931,0.9635490674279584,0.8443826431651679,-14.135445870039227,power,[0.8],3.0,-0.07
