protocol,N,F_ad,final_ground_fidelity,final_energy,kind,params,eta,alpha
target+mixed_power_p0.7_m0.5,0.9891974613124216,0.9872646213786997,0.9869133991199821,-14.533029634026732,mixed_power,"[0.7, 0.5]",3.0,-0.07
target+mixed_power_p1.4_m0.5,0.9794042827724494,0.9864990531172957,0.9406404608917128,-14.468351823853917,mixed_power,"[1.4, 0.5]",3.0,-0.07
target+power_p1.2,0.9899595368469787,0.9852159966631686,0.9806234136367423,-14.538062665596641,power,[1.2],3.0,-0.07
target+sine_pos,0.982093882779239,0.9807052241728668,0.9565118613891702,-14.486114947233105,sine,"[0.04, 0.0, 0.0]",3.0,-0.07
OI+AH+TargetCatalyst+commutator-CD,0.9780819911298605,0.9790174569971816,0.9688031002419266,-14.459618915789044,smooth,[],3.0,-0.07
Recorded baseline OI+AH+CD,0.9470072150642745,0.9778055915568448,0.840339647205532,-14.254389483962669,smooth,[],0.0,-0.045093150475837604
target+sine_neg,0.9679160963414117,0.9732412138626199,0.9726458881411064,-14.39247954825067,sine,"[-0.04, 0.0, 0.0]",3.0,-0.07
target+power_p0.8,0.9217334075775249,0.9602072125125677,0.8389311712017095,-14.087471816088012,power,[0.8],3.0,-0.07
