method,num_instances,mean_final_fidelity,std_final_fidelity,mean_F_ad,std_F_ad,min_final_fidelity,max_final_fidelity
no_cd,12,0.14677327857088726,0.007859293489249368,0.5491307444245244,0.024398427628010134,0.13315030803365402,0.16355762403281504
teacher_weighted_K3,12,0.7369115180136885,0.09145309276626089,0.9002713086830464,0.043166502540148595,0.505111477968805,0.851032557045166
neural_generator_K3,12,0.7323169051927098,0.08672015016933722,0.8980484256098652,0.04193704129498195,0.5136922471077052,0.8410535827803481
