method,num_instances,mean_final_fidelity,std_final_fidelity,mean_F_ad,std_F_ad,min_final_fidelity,max_final_fidelity
no_cd,6,0.08096750052290698,0.0029700171224322346,0.4612772988611107,0.015990637252160714,0.07555172596063754,0.08399730836310543
teacher_weighted_K3_N8,6,0.5990182822757066,0.06702487785518567,0.8410090044915403,0.03518259560557735,0.5053587046989357,0.6866284215451152
gnn_N6_to_N8_K3,6,0.642405313764374,0.06141694122839082,0.8608243231450152,0.030470640687623455,0.565626050991749,0.7320097465747888
